Topic,Created,PythonFiles,Resolved,Validated,Remaining,Created%,PythonFile%,Resolved%,Validated%
BuiltinFunctions,10,1,0,0,10,50.0,5.0,0.0,0.0
ControlFlow,20,3,0,0,0,100.0,15.0,0.0,0.0
DataScience,7,1,0,0,13,35.0,5.0,0.0,0.0
FileOperations,20,1,0,0,0,100.0,5.0,0.0,0.0
Functions,20,2,0,0,0,100.0,10.0,0.0,0.0
Lists,20,5,0,0,0,100.0,25.0,0.0,0.0
Modules,20,1,0,0,0,100.0,5.0,0.0,0.0
OOP,20,1,0,0,0,100.0,5.0,0.0,0.0
String,20,20,1,1,0,100.0,100.0,5.0,5.0
Tuples,20,1,0,0,0,100.0,5.0,0.0,0.0
WebTechnologies,8,1,0,0,12,40.0,5.0,0.0,0.0
